% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
235	2	9	39	0	28	549	0	1	1
236	1	12	82	0	28	549	0	1	0
236	2	12	82	0	28	549	0	1	1
237	1	2	50	0	28	549	0	1	0
237	2	2	50	0	28	549	0	1	1
238	1	14	1	0	28	549	0	1	0
238	2	14	1	0	28	549	0	1	1
239	1	1	87	0	28	549	0	1	0
239	2	1	87	0	28	549	0	1	1
240	1	11	58	0	28	549	0	1	0
240	2	11	58	0	28	549	0	1	1
241	1	15	12	0	28	549	0	1	0
241	2	15	12	0	28	549	0	1	1
242	1	6	91	0	28	549	0	1	0
242	2	6	91	0	28	549	0	1	1
243	1	10	63	0	28	549	0	1	0
243	2	10	63	0	28	549	0	1	1
244	1	5	20	0	28	549	0	1	0
244	2	5	20	0	28	549	0	1	1
245	1	13	94	0	28	549	0	1	0
245	2	13	94	0	28	549	0	1	1
246	1	3	96	0	28	549	0	1	0
246	2	3	96	0	28	549	0	1	1
247	1	8	71	0	28	549	0	1	0
247	2	8	71	0	28	549	0	1	1
248	1	7	29	0	28	549	0	1	0
248	2	7	29	0	28	549	0	1	1
249	1	4	78	0	28	549	0	1	0
249	2	4	78	0	28	549	0	1	1
250	1	9	39	0	28	549	0	1	0
250	2	9	39	0	28	549	0	1	1
251	1	12	82	0	28	549	0	1	0
251	2	12	82	0	28	549	0	1	1
252	1	2	50	0	28	549	0	1	0
252	2	2	50	0	28	549	0	1	1
253	1	14	1	0	28	549	0	1	0
253	2	14	1	0	28	549	0	1	1
254	1	1	87	0	28	549	0	1	0
254	2	1	87	0	28	549	0	1	1
255	1	11	58	0	28	549	0	1	0
255	2	11	58	0	28	549	0	1	1
256	1	15	12	0	28	549	0	1	0
256	2	15	12	0	28	549	0	1	1
257	1	6	91	0	28	549	0	1	0
257	2	6	91	0	28	549	0	1	1
258	1	10	63	0	28	549	0	1	0
258	2	10	63	0	28	549	0	1	1
259	1	5	20	0	28	549	0	1	0
259	2	5	20	0	28	549	0	1	1
260	1	13	94	0	28	549	0	1	0
260	2	13	94	0	28	549	0	1	1
261	1	3	96	0	28	549	0	1	0
261	2	3	96	0	28	549	0	1	1
262	1	8	71	0	28	549	0	1	0
262	2	8	71	0	28	549	0	1	1
263	1	7	29	0	28	549	0	1	0
263	2	7	29	0	28	549	0	1	1
264	1	4	78	0	28	549	0	1	0
